url,badge
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit/peaches_and_nectarines,Peaches & Nectarines
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit/plums_apricots_and_small_stone_fruit,"Plums, Apricots & Small Stone Fruit"
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit/rhubarb,Rhubarb
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit/prepared_fruit,Prepared Fruit
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit/nuts_seeds_and_dried_fruit,"Nuts, Seeds & Dried Fruit"
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit/cherries,Cherries
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit/organic_fruit,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit/avocado,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit/perfectly_ripe_fruit,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/loose_vegetables,Loose Vegetables
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/potatoes_and_sweet_potatoes,Potatoes & Sweet Potatoes
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/stir_fry_noodles_and_vegetables,Stir Fry Noodles & Vegetables
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/onions_and_garlic,Onions & Garlic
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/chillies_ginger_and_ingredients,"Chillies, Ginger & Ingredients"
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/peppers,Peppers
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/squashes_and_pumpkins,Squashes & Pumpkins
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/carrots_and_parsnips,Carrots & Parsnips
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/leeks,Leeks
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/mushrooms,Mushrooms
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/courgettes_and_aubergines,Courgettes & Aubergines
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/broccoli_and_cauliflower,Broccoli & Cauliflower
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/cabbage_spinach_and_greens,"Cabbage, Spinach & Greens"
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/peas_beans_and_sweetcorn,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/celery_and_fennel,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/beetroot_and_radish,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/asparagus_and_artichokes,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/prepared_vegetables,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/organic_vegetables,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/in_season_vegetables,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/roasting,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables/pickling,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/in_season_fruit_and_vegetables/in_season_fresh_fruit,In Season Fresh Fruit
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/in_season_fruit_and_vegetables/in_season_fresh_vegetables,In Season Fresh Vegetables
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/tomatoes,Tomatoes
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/salad_bags,Salad Bags
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/lettuce_and_chicory,Lettuce & Chicory
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/peppers,Peppers
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/fresh_herbs,Fresh Herbs
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/cucumbers,Cucumbers
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/celery,Celery
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/spring_onions,Spring Onions
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/beetroot_and_radish,Beetroot & Radish
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/avocados,Avocados
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/cress,Cress
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/coleslaw_and_potato_salad,Coleslaw & Potato Salad
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/prepared_salads,Prepared Salads
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/loose_salad,Loose Salad
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs/alternate_salad,Alternate Salad
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/meals_for_1,Meals For 1
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/meals_for_2,Meals For 2
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/italian_and_mediterranean_meals,Italian & Mediterranean Meals
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/indian_meals,Indian Meals
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/chinese_and_asian_meals,Chinese & Asian Meals
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/no1_ready_meals,No.1 Ready Meals
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/charlie_bighams,Charlie Bigham's
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/japanese_meals,Japanese Meals
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/classic_meals,Classic Meals
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/healthier_ready_meals,Healthier Ready Meals
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/vegetarian_and_vegan,Vegetarian & Vegan
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/childrens_meals,Childrens Meals
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/pizza_and_garlic_bread,Pizza & Garlic Bread
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/easy_to_cook,Easy to Cook
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/slow_cooked,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/microwavable_ready_meals,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals/freezable_ready_meals,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/beef,Beef
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/lamb,Lamb
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/pork,Pork
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/bacon_and_gammon,Bacon & Gammon
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/sausages,Sausages
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/burgers,Burgers
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/bbq_meat,BBQ Meat
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/roasting_joints,Roasting Joints
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/accompaniments,Accompaniments
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/sauces_gravy_and_marinades,"Sauces, Gravy & Marinades"
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/organic,Organic
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/free_range,Free Range
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/slow_cooked,Slow Cooked
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/veal_venison_and_game,"Veal, Venison & Game"
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/easy_to_cook,Easy To Cook
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat/butchers_counter,Butcher's Counter
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/chicken,Chicken
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/bbq_chicken,BBQ Chicken
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/turkey,Turkey
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/duck,Duck
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/other_poultry,Other Poultry
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/organic_and_free_range_chicken,Organic & Free Range Chicken
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/whole_chicken,Whole Chicken
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/marinated_chicken,Marinated Chicken
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/breaded_chicken,Breaded Chicken
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/easy_to_cook_chicken,Easy to Cook Chicken
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/new,New
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry/popular_picks,Popular Picks
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/fish_fillets,Fish Fillets
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/smoked_fish,Smoked Fish
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/salmon_and_trout,Salmon & Trout
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/cod_haddock_and_white_fish,"Cod, Haddock & White Fish"
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/breaded_fish_and_fishcakes,Breaded Fish & Fishcakes
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/prawns_and_seafood,Prawns & Seafood
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/caviar_roe_and_herring,"Caviar, Roe & Herring"
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/en_papillote,En Papillote
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/easy_to_cook_and_mixes,Easy to Cook & Mixes
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/no1_fish_and_seafood,No.1 Fish & Seafood
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/fish_under_5,Fish under £5
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/smoked_salmon_and_ready_to_eat,Smoked Salmon & Ready to Eat
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/bbq_fish,BBQ Fish
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/fish_counter,Fish Counter
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/fish_favourites,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood/fresh_and_flavourful,
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/milk_butter_and_eggs/milk,Milk
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/milk_butter_and_eggs/long_life_milk,Long Life Milk
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/milk_butter_and_eggs/dairy_and_lactose_free,Dairy & Lactose Free
https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/milk_butter_and_eggs/butter_spreads_and_pastry,"Butter, Spreads & Pastry"
